('01001211', 'Paradigm in Agricultural Extension')
('01459411', 'Practicum')
('01459425', 'Humanistic Psychology')
('01459435', 'Psychology of Group Counseling')
('01459442', 'Clinical Psychological Assessment II')
('01459444', 'Neuropsychology')
('01459445', 'Psychopharmacology')
('01459446', 'Behavior Therapy')
('01459448', 'Marital & Family Counseling')
('01459461', 'Psychology of Juvenile Delinquency')
('01459472', 'Group Process for Human Resource Development')
('01459473', 'Social Psychology at Work')
('01459491', 'Basic Research Methods in Psychology')
('01459497', 'Seminar')
('01459498', 'Special Problems')
('01460101', 'Contemporary Thai Society & Culture')
('01460111', 'Introduction to Sociology')
('01460211', 'Social Organization')
('01460214', 'Sociological Thought & Theory')
('01460232', 'Urban Sociology')
('01460331', 'Principles of Demography')
('01460332', 'Community Study')
('01460349', 'Gender & Development')
('01460399', 'Social Science Research Practicum')
('01460422', 'Social Problems')
('01460423', 'Sociology of Agricuture')
('01460432', 'Population & Development')
('01460446', 'Child, Youth & Women Development')
('01460495', 'Independent Study')
('01460497', 'Seminar')
('01461211', 'Cultural Anthropology')
('01461213', 'Introduction to Archaeology')
('01461217', 'Urban Anthropology')
('01461313', 'Ethnic Studies')
('01461326', 'Folk Tale')
('01461328', 'Ecological Anthropology')
('01461391', 'Methods in Qualitative Research')
('01461449', 'Readings in Anthropology')
('01461495', 'Independent Study')
('01461497', 'Seminar')
('01462502', 'Stat.Quantitative Methods Social Sciences')
('01462534', 'Research Develop.for Application to Society')
('01462543', 'Human Resources & Community Development')
('01462551', 'Communication for Society Development')
('01462593', 'Qua.Research Applied Sociology Anthropology')
('01462597', 'Seminar')
('01462599', 'Thesis')
('01463595', 'Independent Study')
('01463599', 'Thesis')
('01468533', 'Public Policy & Social Development Planning')
('01468535', 'Contemporary Social Develop.Administration')
('01468538', 'Civil Society & Development Administration')
('01468592', 'Research Practicum for Develop.Administration')
('01468595', 'Independent Study')
('01468597', 'Seminar')
('01468599', 'Thesis')
('01470111', 'Academic Writing for Southeast Asia Studies')
('01470112', 'Pre-modern Southeast Asia')
('01470131', 'Indonesian Society & Culture I')
('01470141', 'Chinese Society & Culture in Southeast Asia I')
('01470262', 'Natural Res.& Environ.Manag.in Southeast Asia')
('01470326', 'Vietnamese Wisdom II')
('01470332', 'Indonesian Wisdom II')
('01470342', 'Overseas Chineses Wisdom II')
('01470351', 'Roles of Major Powers in Southeast Asia')
('01470352', 'ASEAN and Regionalism in Southeast Asia')
('01470353', 'Relation.beween Thai.& the Neighboring Coun.')
('01470373', 'Muslim Society Southeast Asia')
('01470374', 'Gender in Southeast Asia')
('01470382', 'Contemporary Myanmar')
('01470386', 'Contemporary Singapore')
('01470388', 'Comtemporary Cambodia')
('01470426', 'Selected Texts on Vietnamese Culture II')
('01470432', 'Selected Texts on Indonesia Culture II')
('01470442', 'Selec.Texts on  Overseas Chinese Culture II')
('01470482', 'Globalization & Southeast Asia')
('01470497', 'Seminar')
('01470498', 'Special Problems')
('01474511', 'Applied Psychology in Community')
('01474512', 'Applied Statistics for Psychological Research')
('01474522', 'Psy.of Persuasion & Opinion Change in Comm.')
('01474523', 'Psychology of Counseling in Community')
('01474525', 'Advanced Training in Community Psychology')
('01474581', 'Health Psychology')
('01474582', 'Psy.of Preven.& Men.Health Promo. in Comm.')
('01474583', 'Family Psychology')
('01474585', 'Psychology of Human Lifespan')
('01474591', 'Research Methods in Community Psychology')
('01474595', 'Independent Study')
('01474597', 'Seminar')
('01474599', 'Thesis')
('01475522', 'Personnel Psychology')
('01475524', 'Psy. for Strategic Human Resource Management')
('01475531', 'Organizational Psychology')
('01475538', 'Cross-Cultural Industrial & Organi.Psy.')
('01475591', 'Research Methods in Indus. & Organ. Psy.')
('01475595', 'Independent Study')
('01475597', 'Seminar')
('01475599', 'Thesis')
('01501521', 'Microanatomy of Cell & Tissue')
('01501522', 'Microanatomy of Organs in the Body')
('01501523', 'Basic Techniques in Microanatomical Research')
('01501524', 'Res.techniques in Microanatomical Science')
('01501541', 'Neuroanatomy of Experimental Animal')
('01501542', 'Neurobiology in Anatomical Science')
('01501552', 'Research Techniques in Molecular Science')
('01502681', 'Clinical Practice in Large Animals')
('01502685', 'Special Clinical Practice in Vet. Medicine')
('01502698', 'Special Problems')
('01503101', 'Fundamental Health Manag.in Ornamental Fish')
('01503681', 'Clinical Practice in Farm Anirnals')
('01503685', 'Special Clinical Practice in Farm Animal')
('01503698', 'Special Problems')
('01504312', 'Veterinary Systemic Pathology')
('01504681', 'Clinical Practice in Necropsy & Diag. Path. I')
('01504682', 'Clinical Practice in Necropsy & Diag. Path.II')
('01504683', 'Spec.Clini.Prac.in Diagnos.Cyto.of Small Ani.')
('01504684', 'Spec.Clinic.Pract.in Vet.Genetic Engineering')
('01506341', 'Nutritional Balance & Animal Disease Develop.')
('01506533', 'Lab. in Advanced Veterinary Biochemistry')
('01506698', 'Special Problems')
('01507681', 'Clinical Practice in Small Animal I')
('01507682', 'Clinical Practice in Small Animal II')
('01507683', 'Clinical Practice in Small Animal III')
('01507685', 'Special Clinical Practice in Small Anima')
('01507698', 'Special Problems')
('01508512', 'Bacterial Infec.Diseases of Aquatic Animals')
('01508521', 'Fungal Infectious Diseases of Aquatic Animals')
('01508531', 'Viral Infectious Diseases of Aquatic Animals')
('01508542', 'Immunity & Vaccine in Aquatic Animals')
('01508591', 'Research Methods in Veterinary Microbiology')
('01508596', 'Selected Topics in Veterinary Microbiology')
('01508597', 'Seminar')
('01508598', 'Special Problems')
('01508599', 'Thesis')
('01508681', 'Clinical Practice in Microbiology I')
('01508682', 'Clinical Practice in Microbiology II')
('01509511', 'Helminths of Veterinary Importance')
('01509521', 'Insects & Insect-borne Diseases')
('01509565', 'Parasit.Diseases of Wildlife & Exotic Animals')
('01509597', 'Seminar')
('01509599', 'Thesis')
('01510681', 'Clinic.Pract.in Vet.Public Health & Epidemio.')
('01510682', 'Clinical Pract.in Meat Hygiene & Inspection')
('01510685', 'Special Clinical Pract.in Vet. Public Health')
('01510698', 'Special Problems in Veterinary Public Health')
('01511111', 'Introduction to Veterinary Medicine')
('01511231', 'Primary Praclincal Integration')
('01511332', 'Preclinical Integration')
('01511412', 'Veterinary Ethics & Animal Welfare')
('01511413', 'Reflective Skills Veter.Profession.Practice')
('01511426', 'Veterinary Clinical Nutrition')
('01511434', 'Clinic.Problem Orient.Approach Large Animal')
('01511514', 'Law & Regulation in Veterinary Profession')
('01511527', 'Infections Diseases & Zoonoses')
('01511536', 'Clinic.Problem Orient.Approach in One Health')
('01515535', 'Animal Produc.Sys,Biosecurity & Value Chains')
('01515537', 'Animal Health Economics')
('01515538', 'Social Approaches in Health Risk')
('01515591', 'Research Methodology I')
('01515597', 'Seminar')
('01515599', 'Thesis')
('01515611', 'Biostatistics in Bio-Veterinary Science')
('01515691', 'Adv.Research Methods in Bio-Veterinary Sci.')
('01515697', 'Seminar')
('01515699', 'Thesis')
('01525511', 'Applied Veterinary Pharmacology')
('01525524', 'Mycotoxins in Food Chains')
('01525596', 'Selec.Topics in Vet.Pharmacology & Toxicology')
('01525597', 'Seminar')
('01525598', 'Special Problems')
('01525599', 'Thesis')
('01530411', 'Veterinary Public Health & Quality Assurance')
('01530422', 'Veterinary Epidemiology & Preventive Medicine')
('01530511', 'Environmental Health in Veterinary Medicine')
('01530532', 'Meat Inspection & Safety')
('01530571', 'Envi. Monitoring&Occupational Health in Vet.')
('01530572', 'Antimicrobial-resistant Bacteria in Ani. Pro.')
('01530574', 'Qua.Control & Sustain.Manag.of Animal Pro.')
('01530575', 'Bioactive Agents in Veterinary Profession')
('01531221', 'Veterinary Embryology')
('01532411', 'Ruminant Medicine & Surgery')
('01532412', 'Practice in Large Animal Medicine & Surgery')
('01532421', 'Equine Medicine & Surgery')
('01532571', 'Role of Veterinarian in Wildlife Farming')
('01532572', 'Sheep & Goat Herd Health Management')
('01532573', 'Reproductive Technology in Animals')
('01532574', 'Techniques in Wildlife Study for Veterinarian')
('01532575', 'Exotic Pets Medicine')
('01532577', 'Role of Veterinarian in Equestrian Sport')
('01532578', 'Beef Cattle Herd Health & Reprod. Manage.')
('01532579', 'Interpretation of Animal Electrocardiogram')
('01533411', 'Funda.Herd Health Product.Mange.Farm Animal')
('01533512', 'Laboratory in Farm Animal II')
('01533522', 'Diseases of Swine')
('01533532', 'Diseases of Poultry II')
('01533542', 'Diseases in Aquatic Invertebrate')
('01533571', 'Efficiency Management in Pig Farm')
('01533572', 'Poultry Flock Health & Production Management')
('01533574', 'Aquatic Anaimals Medicine in Aquarium')
('01534312', 'Veterinary Systemic Pathology')
('01534571', 'Biotechnology for Animal Disease Diagnosis')
('01534572', 'Diagnostic Pathology in Companion Animals')
('01534573', 'Basic of Cloning & Stem Cell Researches')
('01534574', 'Raptor Rehabilitation')
('01534575', 'Veterinary Hematology Interpretation')
('01535312', 'Veterinary Pharmacology')
('01535574', 'Clinical Pharmacology')
('01536212', 'Veterinary Cardiovascular & Lymphatic Systems')
('01536213', 'Veterinary Respiratory & Urinary Systems')
('01536222', 'Bioenergetics & Molecular Biology')
('01536231', 'Animal Behavior & Restraint')
('01536314', 'Veter.Metabolic Endocrine & Related Diseases')
('01536341', 'Nutrition.Balance & Animal Disease Develoment')
('01537414', 'Small Animal Dermatology,Ophthalmo. Oncology')
('01537415', 'Small Animall Cardiovas.Respiratory Diseases')
('01537416', 'Small Animal Theriogenology')
('01537417', 'Small Animal Urology')
('01537418', 'Clinical Procedure in Small Animal')
('01537512', 'Infections Diseases in Small Animal')
('01537571', 'Companion Animal Business Management')
('01538211', 'Principles of Veterinary Microbiology')
('01538313', 'Veterinary Immunology')
('01538314', 'Veterinary Virology')
('01538315', 'Lab.in Veterinary Virology & Immunology')
('01539211', 'Food Water-Borne, Emerging Re-Emerging Para.')
('01540511', 'Clinical Anesthesiology')
('01540512', 'Clinical Endocrinology')
('01540517', 'Emergen.& Critical Care Medi.in Small Animal')
('01540531', 'Assisting Reproductive Technology in Ruminant')
('01540533', 'Nutritional Man.& Clin. Problems in Ruminants')
('01540534', 'Reproductive Neurocendocrinology in Ruminant')
('01540596', 'Selected Topics in Veterinary Clinical Study')
('01540597', 'Seminar')
('01540598', 'Special Problems')
('01540599', 'Thesis')
('01540691', 'Advan.Rersearch Method.Veter.Clinical Studies')
('01540697', 'Seminar')
('01540699', 'Thesis')
('01541591', 'Research Methods in Veterinary Epidemiology')
('01541597', 'Seminar')
('01541599', 'Thesis')
('01542511', 'Essence Anato.Animal Health Biomedi.Sciences')
('01542512', 'Lab.Ani.Care & Use in Ani.Heal.& Bio.Sci.Res.')
('01542523', 'Emerging Bacterial Diseases & Current Status')
('01542531', 'Advanced Cellular Biochemistry in Animal')
('01542532', 'Cell Molec.Bio.Animal Health Biomedi.Sciences')
('01542543', 'Research Instruments in  Biomedical Science')
('01542571', 'Biostat.in Animal Health & Biomedi.Sciences')
('01542581', 'Biotechno.in Animal Health & Biomedi.Sciences')
('01542582', 'Molec.Bio.& Serological Methods for Diagnosis')
('01542595', 'Independent Study')
('01542596', 'Selected Topics Animal Health Biomedi.Science')
('01542597', 'Seminar')
('01542598', 'Special Problems')
('01542599', 'Thesis')
('01542696', 'Selec.Topics Animal Health Biomedi.Sciences')
('01542697', 'Seminar')
('01542699', 'Thesis')
('01552599', 'Thesis')
('01554574', 'Advanced Plant Genetic Engineering')
('01554596', 'Selected Topics in Gen. Eng.& Bioinformatics')
('01554597', 'Seminar')
('01554598', 'Special Problems')
('01554599', 'Thesis')
('01554671', 'Advanced Technologies in Genetic Engineering')
('01554691', 'Adv Research Method Genetic Engineer')
('01554697', 'Seminar')
('01554698', 'Special Problems')
('01554699', 'Thesis')
('01555531', 'Agricultural Molecular Genetics')
('01555591', 'Research Method Agri Biotech')
('01555596', 'Selected Topics in Agricultural Biotechnology')
('01555597', 'Seminar')
('01555598', 'Special Problems')
('01555599', 'Thesis')
('01555621', 'Molecular Plant Develpment')
('01555697', 'Seminar')
('01555698', 'Special Problems')
('01555699', 'Thesis')
('01556561', 'Social Dimension in Land Use & Nat.Res.Mgt.')
('01556571', 'Inves.Eva.Tech.Land Use Natur.Res.Mgt.')
('01556592', 'Interdisciplinary Field Study')
('01556596', 'Selec.Topics in Sust.Land Use & Nat.Res.Mgt.')
('01556597', 'Seminar')
('01556599', 'Thesis')
('01556697', 'Seminar')
('01556699', 'Thesis')
('01583113', 'Introduction to Hospitality Management')
('01583211', 'Human Resources Management for Tourism')
('01583221', 'Geography for Global Tourism')
('01583243', 'Accounting & Finance for Tour.& Hospitality')
('01583251', 'Tourism Transportation Management')
('01583312', 'Human Resource Manag.in Tour.& Hospital. Bus.')
('01583343', 'English for Tourism Personnel')
('01583361', 'Sustainable Tourism Planning & Development')
('01583432', 'Health & Spa Tourism Management')
('01583451', 'Airline Business Management')
('01583461', 'Front Office Management')
('01583462', 'Housekeeping Management')
('01583463', 'Food & Beverage Service Management')
('01583467', 'Principles of Culinary Art')
('01583490', 'Cooperative Education')
('01591599', 'Thesis')
('01591697', 'Seminar')
('01591699', 'Thesis')
('01600132', 'Lovely Pets')
('01600221', 'Immunology in Veterinary Technology')
('01600232', 'Anatomy & Histology of Animal II')
('01600233', 'General  Animal Physiology')
('01600236', 'Animal Behaviors & Solving Problems')
('01600242', 'Biochemistry for Animal Health')
('01600302', 'Immunology in Verterinary Technology')
('01600314', 'Animal Hematology & Diagnostic Microscopy')
('01600315', 'Animal Clinical Chemistry')
('01600316', 'Basic Techniques in Cell Culture')
('01600317', 'Diagnostic Techniques in Parasitology')
('01600322', 'Mycology in Veterinary Technology')
('01600324', 'Molecular Biology in  Veterinary Technology')
('01600325', 'Microbiology in Food & Animal Products')
('01600327', 'Mycotoxin Related Animal Health')
('01600332', 'Important Disease in Animal')
('01600342', 'Pharmacology & Toxicology')
('01600345', 'Specific Instrumental Analysis')
('01600422', 'Principles of Epidemiology')
('01600426', 'Applied Molecular Microbiology')
('01600430', 'Veterinary Radiography & Photography')
('01600490', 'Cooperative Education')
('01600491', 'Basic Research Methods in Veterinary Tech.')
('01601231', 'Physiology for Veterinary Nursing')
('01601311', 'Pathophysiology for Veterinary Nursing')
('01601312', 'Laboratory in Clinical Pathology')
('01601313', 'Parasitology for Veterinary Nursing')
('01601324', 'Geriatric Dog Care')
('01601333', 'Small Animal Nursing')
('01601334', 'Nutrional Therapy for Veterinary Nursing')
('01601338', 'Veterinary Nursing Information System')
('01601341', 'Pharmaco.& Toxicology for Veterinary Nursing')
('01601343', 'Molecular Biology for Veterinary Nursing')
('01601437', 'Rehabilitation for Veterinary Nurse')
('01601491', 'Basic Research Methods in Veterinary Nursing')
('01601497', 'Seminar')
('01601498', 'Special Problems')
('01601499', 'Veterinary Nursing Practicum')
('01603151', 'Ethics & Laws Concerning for Veter.Nursing')
('01603212', 'Entomology & Protozoalogy for Veter. Nusring')
('01603221', 'Microbiology for Veterinary Nursing')
('01603232', 'Anatomy & Histology for Veterinary Nursing II')
('01603234', 'Physiology for Veterinary Nursing')
('01603242', 'Toxicology for Veterinary Nursing')
('01605541', 'Genetic Engineering in Animal Health Tech.')
('01605596', 'Selected Topics in Animal Health Technology')
('01605597', 'Seminar')
('01605599', 'Thesis')
('01605697', 'Seminar')
('01605699', 'Thesis')
('01651211', 'Principles of Environmental Science')
('01651312', 'Urban Environment & Management')
('01651321', 'Soil Contamination & Remediation')
('01651325', 'Introduction to Solid Waste')
('01651421', 'Environmental Sampling Techniques & Analysis')
('01651423', 'Biodegradation & Bioremediation')
('01651424', 'Techologies for Air Pollution Control')
('01651426', 'Wastewater Treatment Technology')
('01651462', 'Environmental Sanitation')
('01651496', 'Selected Topic in Environment.Science & Tech.')
('01651512', 'Environmental Science & Technology')
('01651536', 'Contaminated Land Management')
('01651572', 'Waste Utilization Technology')
('01651581', 'Applied Ecology for Environmental Management')
('01651591', 'Research Methods in Envi.Tech.& Management')
('01651596', 'Selected Topics in Envi. Tech. & Management')
('01651597', 'Seminar')
('01651598', 'Special Problems')
('01651599', 'Thesis')
('01651697', 'Seminar')
('01651699', 'Thesis')
('01661354', 'Environment & Life Science')
('01661455', 'Land Use & Land Cover Management')
('01662512', 'Environmental Impact Analysis')
('01662513', 'Micrometeorology for Environment')
('01662514', 'Atmospheric Science')
('01662515', 'Global Change Science')
('01662516', 'Environmental Hydrology')
('01662517', 'Waste & Pollutant Science')
('01662519', 'System Science')
('01662522', 'Eco-Engineering Techniques')
('01662524', 'Natural Treatment Technology')
('01662525', 'Environmental Toxicology & Control')
('01662526', 'Environment Toxicology & Control Laboratory')
('01662528', 'Industrial Pollutants & Environmental Manag.')
('01662529', 'Atmospheric Chemistry')
('01662531', 'Integrated Environmental Management')
('01662532', 'Ecodevelopment & Processing Control')
('01662533', 'Natural Resources Systems Management')
('01662536', 'Geological Information System for Environment')
('01662537', 'Environment for Livelihood')
('01662542', 'Human Settlement & Environmental Control')
('01662543', 'Science for Community Planning')
('01662544', 'Environmental Education & Management')
('01662546', 'Science for Environmental Education')
('01662548', 'Visual Pollution')
('01662596', 'Selected Topics in Environmental Science')
('01662597', 'Seminar')
('01662599', 'Thesis')
('01662611', 'Environmental Philosophy')
('01662612', 'Change of Global Environmental Systems')
('01662622', 'Environmental System Modeling')
('01662623', 'Environmental Instrucments & Installation')
('01662624', 'Tech.& Instruments for Trace Environ.Analysis')
('01662625', 'Ecotoxicology in Tropical Zone')
('01662696', 'Selected Topics in Environmental Science')
('01662697', 'Seminar')
('01662698', 'Special Problems')
('01662699', 'Thesis')
('01680131', 'Concepts & Techniques in Math.& Stat.')
('01680211', 'Chemistry for Sustainable Life II')
('01680221', 'Interactive Biology I')
('01680241', 'Physics for Sustainable Life')
('01680242', 'Laboratory in Physics for Sustainable Life')
('01682421', 'Breeding & Nursing of Econ.Freshwater Animal')
('01682422', 'Econ.Important Freshwater Aquatic Animal Cul.')
('01682423', 'Commercial Ornamental Aquatic Animal Culture')
('01682424', 'Pro.Ex.in Ornament.&Econ.Aqua.Ant.Aquaculture')
('01682431', 'Agroforestry Systems')
('01682432', 'Management of Agroforestry Systems')
('01682433', 'Agroforestry for Life & Environment')
('01682434', 'Profess.Experience in Agroforestry Land Use')
('01685411', 'Bus.Concept Develop.for Beverage Products')
('01685412', 'Production of Fermented Beverages')
('01685413', 'Pro.of Beverages from Veget.,Fruits & Cereals')
('01685414', 'Packaging Design for Beverages')
('01685415', 'Entrepreneurship Develop.in Beverage Business')
('01685416', 'Professional Experience in Beverage Produc.')
('01685441', 'Processing Techno.& Commerce. Wood Products')
('01685442', 'Energy Conver.Tech.from Wood & Agri.Residues')
('01685443', 'Wood Product Administration & Marketing')
('01685444', 'Professional Experience in Wood Industry')
('01689431', 'Holistic Health Development for the Elderly')
('01689432', 'Nutrition for the Elderly')
('01689433', 'Club & School Management for the Elderly')
('01689434', "Projects on the Elderly's Potential Enhance.")
('01999011', 'Food for Mankind')
('01999012', 'Health for Life')
('01999013', 'New Age Infor.Manage. in Everyday Life')
('01999021', 'Thai Language for Communication')
('01999023', 'Essential Computer Skill')
('01999031', 'The Heritage of World Civilizations')
('01999032', 'Thai Studies')
('01999033', 'Arts of Living')
('01999034', 'Art Perception')
('01999035', 'Music Culture in Life')
('01999036', 'Happiness amongst Life Dynamics')
('01999041', 'Economics for Better Living')
('01999043', 'Creativity for Value Management')
('01999047', 'Military for Country Development')
('01999048', 'Innovation for Environment & Health')
('01999051', 'Develop.of Core Competency through One Health')
('01999111', 'Knowledge of the Land')
('01999141', 'Man & Society')
('01999211', 'Mathematics & Computers in Everyday Life')
('01999212', 'Concept of Sciences & Philosophy')
('01999213', 'Environment, Technology & Life')
('02026312', 'Economic Entomology')
('02026334', 'Insect Pests of Stored Products')
('02026337', 'Household Insect Pests')
('02026461', 'Insect Ecology')
('02026482', 'Toxicology of Insecticides')
('02026483', 'Plant extracts for insecticide pest control')
('02026491', 'Basic of Research in Entomology')
('02026497', 'Seminar')
('02026498', 'Special Problems')
('02026499', 'Specific Practicum')
('02027111', 'Basic Farm Workshop')
('02027212', 'Agricultural Machinery Drawing')
('02027213', 'Materials & Elementary Mechanics of Material')
('02027262', 'Fundamental of Agricultural Control System')
('02027321', 'Principles of Farm Machinery I')
('02027323', 'Principles of Farm Machinery III')
('02027324', 'Agricultural Power Transmission')
('02027362', 'Computer Programming for Agriculture II')
('02027399', 'Basic Spec.Practicum in Agri.Machin.& Mechat.')
('02027423', 'Testing & Evaluation of Agri. Mach. & Equip.')
('02027425', 'Agri. Machinery and Resources Management')
('02027441', 'Greenhouse Technology')
('02027442', 'Agricultural Structure')
('02027455', 'Agricultural & Food Products Process.Operat.')
('02027498', 'Special Problems')
('02028321', 'Fertilizers & Manures')
('02028411', 'Geographic Information System in Agriculture')
('02028421', 'Soil Fertility')
('02028422', 'Soil & Plant Relationships')
('02028431', 'Soil Chemistry')
('02028442', 'Soil Survey')
('02028444', 'Highland Soils')
('02028451', 'Soil Microbiology')
('02028452', 'Biofertilizer')
('02028453', 'Soil Ecology')
('02028463', 'Soil Physics')
('02028472', 'Soil & Water Conservation')
('02028481', 'Soils Pollution & Its Management')
('02028482', 'Soil Chemicals & Environmental Impacts')
('02028497', 'Seminar')
('02028498', 'Special Problems')
('02028499', 'Specific Practicum')
('02029213', 'Laboratory in Botany of Economic Field Crops')
('02029423', 'Water Management for Field Crops')
('02029432', 'Tree Crop Production')
('02029433', 'Industrial Crop Production')
('02029434', 'Forage Crop Management')
('02029442', 'Medicinal Plants and Their Utilization')
('02029451', 'Physiology of Field Crop Production')
('02029461', 'Cropping System')
('02029462', 'Golf Course Management')
('02029471', 'Principles of Plant Breeding')
('02029491', 'Basic Research Techniques in Agronomy')
('02029493', 'Field Plot Methods in Agronomy')
('02029497', 'Seminar')
('02029498', 'Special Problems')
('02031271', 'Plant Health Clinic I')
('02031371', 'Principles of Plant Diseases Control')
('02031372', 'Plant Health Clinic II')
('02031411', 'Bacterial Diseases of Plants')
('02031412', 'Plant Pathogenic Phytoplasmas')
('02031421', 'Introduction to Mycology')
('02031431', 'Plant Parasitic Nematodes')
('02031432', 'Plant Diseases Caused by Parasitic  Nematodes')
('02031443', 'Plant Viroid')
('02031451', 'Molecular Plant Pathology')
('02031463', 'Diseases of Fruit Crops')
('02031464', 'Diseases of Ornamental Plants')
('02031465', 'Diseases of Vegetable Crops')
('02031466', 'Non-Parasitic Diseases of Plants')
('02031468', 'Plant Pathogens I')
('02031469', 'Plant Pathogens II')
('02031471', 'Chemicals Used in Plant Disease Control')
('02031474', 'Quality System of Agricultural Produce')
('02031482', 'Seed Pathology')
('02031484', 'Serology in Plant Pathology')
('02031498', 'Special Problems')
('02032261', 'Computer & Information Tech for Agri Ext Work')
('02032303', 'Agriculture and Quality of Life')
('02032315', 'Organic Agriculture')
('02032342', 'Human Resource Development in Agri. Community')
('02032351', 'Principles of Photography')
('02032352', 'Communication in Agriculture')
('02032371', 'Environmental Planning for Agri. Development')
('02032381', 'Agri-business Promotion in Rural Community')
('02032454', 'Public Speaking')
('02032457', 'Principles of Public Relations')
('02032466', 'Agricultural Information Transfer')
('02032491', 'Basic Research Methods in Agri. Ext.& Comm.')
('02032492', 'System Management For Agricultural Developmen')
('02032496', 'Selected topics in Agri.Extension & Comm.')
('02032497', 'Seminar')
('02032498', 'Special Problems')
('02032499', 'Specific Practicum')
('02033241', 'Ana & Phy of Domes Ani I')
('02033299', 'Practicum I')
('02033302', 'Livestock & Thai Way of Life')
('02033311', 'Poultry Production and Management')
('02033312', 'Swine Production and Management')
('02033313', 'Beef & Dairy Cattle Production & Management')
('02033314', 'Dairy Production')
('02033317', 'Basic Engineer.for Livestock Poultry Produc.')
('02033321', 'Qualitative Animal Nutrition')
('02033322', 'Biotechnology in Animal Feed')
('02033323', 'Nutritional Evaluation for Feed and Feedstuff')
('02033324', 'Quantitative Animal Nutrition')
('02033331', 'Animal Breeding')
('02033351', 'Principles of Animal Hygiene & Sanitatio')
('02033361', 'Food Safety Qua.Assur.Animal-Origin Products')
('02033399', 'Practicum ||')
('02033412', 'Comp & Non-con Ani Production')
('02033414', 'Dairy Herd Management')
('02033419', 'Livestock Business')
('02033441', 'Swine Reproductive Management')
('02033443', 'Reproductive Management in Ruminants')
('02033451', 'Livestock and Poultry Health&Welfare Manag.')
('02033462', 'Principles of Dairy Science')
('02033463', 'Poultry Product Management')
('02033481', 'Animal Waste and Management')
('02033496', 'Selected Topics in Animal Husbandry')
('02033497', 'Seminar')
('02033498', 'Special Problems')
('02034322', 'Principles of Agricultural Biotechnology')
('02034431', 'Molec Tech Agri Biotech')
('02034432', 'Monoclonal Antibody')
('02034435', 'DNA Fingerprint Analysis')
('02034444', 'Gene Transfer in Animal')
('02034496', 'Selected Topic in Agricultural Biotechno')
('02034497', 'Seminar')
('02034498', 'Special Problems')
('02036111', 'Overview in Agriculture')
('02036211', 'Agricultural Extension & Technology Transfer')
('02036221', 'Animal Science & Technology')
('02036231', 'Crop Science & Technology')
('02036241', 'Introduction to Entomology')
('02036251', 'Agricultural Machinery & Equipment')
('02036261', 'Soil Science')
('02036271', 'Horticultural Science & Technology')
('02036281', 'Introductory Plant Pathology')
('02036299', 'General Practicum')
('02036390', 'Cooperative Education Preparation')
('02036392', 'Agriculture & Practice Abroad')
('02036490', 'Cooperative Education')
('02037311', 'Principles of Horticulture')
('02037312', 'Laboratory in Horticulture')
('02037313', 'Amenity Plants')
('02037412', 'Quality of Fresh Fruits & Vegetables')
('02037421', 'Technology of Vegetable Production')
('02037432', 'Ornamental Plants')
('02037441', 'Tropical Fruits')
('02037444', 'Orchard Management')
('02037451', 'Physiology of Horticultural Crops')
('02037454', 'Plant Growth Regulators in Horticulture')
('02037455', 'Principles of Plant Tissue Culture')
('02037461', 'Systematics of Horticutural Crops')
('02037463', 'Landscape Design')
('02037471', 'Principles of Horticultural Breeding')
('02037482', 'Postharvest Technology of Hort. Commodity')
('02037492', 'Computer Appli. for Horticultural Research')
('02037496', 'Selected Topics in Horticulture')
('02037497', 'Seminar')
('02037498', 'Special Problems')
('02042521', 'Greenhouse Vegetable Production')
('02042541', 'Applied Physiology in Fruit Production')
('02042561', 'Analysis & Interpretation of Hort. Experiment')
('02042563', 'Journal Club')
('02042573', 'Cells & Tissue Culture for Plant Improvement')
('02042574', 'Horticultural Genome')
('02042583', 'Industrial Seed & Propagule Production')
('02042592', 'Research Methods in Horticultural Science II')
('02042594', 'Research Techniques in Horticultural Science')
('02042597', 'Seminar')
('02042598', 'Special Problems')
('02042599', 'Thesis')
('02043562', 'Advanced Milk Science and Technologh')
('02043573', 'Biosecurity in Animal Farm Management')
('02043575', 'Animal Production Quality Assurance')
('02043578', 'Livestock Pro Sys for Food Safety of Produces')
('02043579', 'Sensory Quality Evaluation of Animal Produces')
('02043592', 'Journal Club in Animal Produce Food Safety')
('02043597', 'Seminar')
('02043599', 'Thesis')
('02044524', 'Plant & Plant Extracts in Livestock Prod.')
('02044525', 'Feed Additives in Livestock Production')
('02044526', 'Feed Manufacturing & Quality Assurance')
('02044528', 'Microb.& Microbial Biotech.of Ani.diges.Sys.')
('02044592', 'Journal Club in Animal Nutrition & Feed Techn')
('02044597', 'Seminar')
('02044599', 'Thesis')
('02044611', 'Animal Nutrition & Feed Tech. Perspectives')
('02044612', 'Immunonutrition in Livestock & Poultry')
('02044697', 'Seminar')
('02044699', 'Thesis')
('02045534', 'Statistical Models for Animal Researches')
('02045552', 'Advanced in Ruminant Production')
('02045561', 'Advanced Physiology for Animal Researches')
('02045572', 'Meat Science and Technolgy')
('02045597', 'Seminar')
('02045598', 'Special Problems')
('02045599', 'Thesis')
('02047597', 'Seminar')
('02047599', 'Thesis')
('02047697', 'Seminar')
('02047699', 'Thesis')
('02049574', 'Applied Cytogenetics for Plant Breeding')
